13,111,
12,112,
11,112,
11,113,
11,114,
11,115,
11,116,
11,117,
11,118,
11,119,
11,120,
11,121,
11,122,
11,123,
11,124,
11,125,
11,126,
11,127,
11,128,
11,129,
11,130,
11,131,
11,132,
11,133,
11,134,
11,135,
11,136,
11,137,
11,138,
11,139,
11,140,
11,141,
11,142,
11,143,
11,144,
11,145,
11,146,
11,147,
11,148,
11,149,
11,150,
11,151,
11,152,
11,153,
11,154,
12,154,
13,154,
14,154,
15,154,
16,154,
17,154,
18,154,
19,154,
20,154,
21,154,
22,154,
23,154,
24,154,
25,154,
26,154,
27,154,
28,154,
29,154,
30,154,
31,154,
32,154,
33,154,
34,154,
35,154,
36,154,
37,154,
38,154,
39,154,
40,154,
41,154,
42,154,
43,154,
44,154,
45,154,
46,154,
47,154,
48,154,
49,154,
50,154,
51,154,
52,154,
53,154,
54,154,
55,154,
56,154,
57,154,
58,154,
59,154,
60,154,
61,154,
62,154,
63,154,
64,154,
65,154,
66,154,
67,154,
68,154,
69,154,
70,154,
71,154,
72,154,
73,154,
74,154,
75,154,
76,154,
77,154,
78,154,
79,154,
80,154,
81,154,
82,154,
83,154,
84,154,
85,154,
86,154,
87,154,
88,154,
89,154,
90,154,
91,154,
92,154,
93,154,
94,154,
95,154,
96,153,
96,152,
96,151,
96,150,
96,149,
96,148,
96,147,
96,146,
96,145,
96,144,
96,143,
96,142,
96,141,
96,140,
96,139,
96,138,
96,137,
96,136,
96,135,
96,134,
96,133,
96,132,
96,131,
96,130,
96,129,
96,128,
96,127,
96,126,
96,125,
96,124,
96,123,
96,122,
96,121,
96,120,
96,119,
96,118,
96,117,
96,116,
96,115,
96,114,
96,113,
96,112,
95,112,
94,111,
93,111,
92,111,
91,111,
90,111,
89,111,
88,111,
87,111,
86,111,
85,111,
84,111,
83,111,
82,111,
81,111,
80,111,
79,111,
78,111,
77,111,
76,111,
75,111,
74,111,
73,111,
72,111,
71,111,
70,111,
69,111,
68,111,
67,111,
66,111,
65,111,
64,111,
63,111,
62,111,
61,111,
60,111,
59,111,
58,111,
57,111,
56,111,
55,111,
54,111,
53,111,
52,111,
51,111,
50,111,
49,111,
48,111,
47,111,
46,111,
45,111,
44,111,
43,111,
42,111,
41,111,
40,111,
39,111,
38,111,
37,111,
36,111,
35,111,
34,111,
33,111,
32,111,
31,111,
30,111,
29,111,
28,111,
27,111,
26,111,
25,111,
24,111,
23,111,
22,111,
21,111,
20,111,
19,111,
18,111,
17,111,
16,111,
15,111,
14,111,
